Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Asf;Amm;Esp;Au;Final_Year;Is_First_Season;Squadra_T;Pg_previous_year;Pg_previous_year_2;Mf_previous_year;Mf_previous_year_2;Gf_previous_year;Gf_previous_year_2;Gs_previous_year;Gs_previous_year_2;Rp_previous_year;Rp_previous_year_2;Rc_previous_year;Rc_previous_year_2;R+_previous_year;R+_previous_year_2;R-_previous_year;R-_previous_year_2;Ass_previous_year;Ass_previous_year_2;Asf_previous_year;Asf_previous_year_2;Amm_previous_year;Amm_previous_year_2;Esp_previous_year;Esp_previous_year_2;Au_previous_year;Au_previous_year_2;Mf_predicted
2874;P;GHIDOTTI;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.56
244;D;GHIGLIONE;Frosinone;9;5.83;5.94;1;0;0;0;0;0;0;0;4;0;0;2019;FALSE;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.53
390;D;GHOULAM;Napoli;15;6.0;6.33;1;0;0;0;0;0;2;1;2;0;0;2019;FALSE;3;11.0;27.0;7.32;6.13;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;6.11
702;C;GIACCHERINI;Chievo;26;5.83;5.87;2;0;0;2;1;1;1;0;8;0;1;2019;FALSE;5;16.0;8.0;6.5;6.44;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.89
105;D;GOBBI;Parma;15;5.43;5.4;0;0;0;0;0;0;1;0;3;0;0;2019;FALSE;26;24.0;30.0;5.69;5.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;5.49
418;D;GOLDANIGA;Frosinone;29;5.57;5.6;1;0;0;0;0;0;1;0;6;0;0;2019;FALSE;11;13.0;28.0;5.88;5.34;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;11.0;2.0;1.0;0.0;1.0;5.86
610;P;GOLLINI;Atalanta;20;6.22;5.15;0;21;0;0;0;0;0;0;1;0;0;2019;FALSE;1;7.0;4.0;5.5;5.75;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.5
26;A;GOMEZ A;Atalanta;35;6.21;7.03;7;0;0;0;0;0;9;1;5;0;0;2019;FALSE;1;33.0;37.0;7.02;8.23;4.0;14.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;1.0;0.0;7.0;8.0;2.0;2.0;2.0;6.0;0.0;0.0;0.0;0.0;7.15
2052;D;GOMEZ G;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;14;0.0;13.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.55
540;P;GOMIS A;SPAL;20;6.05;4.7;0;27;0;0;0;0;0;0;0;0;0;2019;FALSE;24;25.0;0.0;4.52;0.0;0.0;0.0;43.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.98
2193;C;GONALONS;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;15;13.0;0.0;5.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.95
